"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"82","Arizona School of Integrative Studies",5029,6755,"Arizona School of Integrative Studies",5029,6755,"Arizona School of Integrative Studies",5029,6755,"Arizona School of Integrative Studies",5029,6755,"Arizona School of Integrative Studies",5029,6755,"Arizona School of Integrative Studies",5029,6755
"83","ITT Technical Institute-Phoenix",4257,20129,"ITT Technical Institute-Phoenix",4257,20129,"ITT Technical Institute-Phoenix",4257,20129,"ITT Technical Institute-Phoenix",4257,20129,"ITT Technical Institute-Phoenix",4257,20129,"ITT Technical Institute-Phoenix",4257,20129
"84","Regency Beauty Institute-Mesa",9181,14011,"Regency Beauty Institute-Mesa",9181,14011,"Regency Beauty Institute-Mesa",9181,14011,"Regency Beauty Institute-Mesa",9181,14011,"Regency Beauty Institute-Mesa",9181,14011,"Regency Beauty Institute-Mesa",9181,14011
"85","Allen School-Phoenix",4705,10253,"Allen School-Phoenix",4705,10253,"Allen School-Phoenix",4705,10253,"Allen School-Phoenix",4705,10253,"Allen School-Phoenix",4705,10253,"Allen School-Phoenix",4705,10253
"86","Tohono O'Odham Community College",8550,2056,"Tohono O'Odham Community College",8550,2056,"Tohono O'Odham Community College",8550,2056,"Tohono O'Odham Community College",8550,2056,"Tohono O'Odham Community College",8550,2056,"Tohono O'Odham Community College",8550,2056
"87","Everest College-Mesa",5705,9830,"Everest College-Mesa",5705,9830,"Everest College-Mesa",5705,9830,"Everest College-Mesa",5705,9830,"Everest College-Mesa",5705,9830,"Everest College-Mesa",5705,9830
"88","The Art Institute of Tucson",5326,12871,"The Art Institute of Tucson",5326,12871,"The Art Institute of Tucson",5326,12871,"The Art Institute of Tucson",5326,12871,"The Art Institute of Tucson",5326,12871,"The Art Institute of Tucson",5326,12871
"89","HDS Truck Driving Institute",3333,8285,"HDS Truck Driving Institute",3333,8285,"HDS Truck Driving Institute",3333,8285,"HDS Truck Driving Institute",3333,8285,"HDS Truck Driving Institute",3333,8285,"HDS Truck Driving Institute",3333,8285
"90","Empire Beauty School-Chandler",6356,8320,"Empire Beauty School-Chandler",6356,8320,"Empire Beauty School-Chandler",6356,8320,"Empire Beauty School-Chandler",6356,8320,"Empire Beauty School-Chandler",6356,8320,"Empire Beauty School-Chandler",6356,8320
"91","Avalon School of Cosmetology-Mesa",3770,7516,"Avalon School of Cosmetology-Mesa",3770,7516,"Avalon School of Cosmetology-Mesa",3770,7516,"Avalon School of Cosmetology-Mesa",3770,7516,"Avalon School of Cosmetology-Mesa",3770,7516,"Avalon School of Cosmetology-Mesa",3770,7516
"92","Glendale Community College",4684,1489,"Glendale Community College",4684,1489,"Glendale Community College",4684,1489,"Glendale Community College",4684,1489,"Glendale Community College",4684,1489,"Glendale Community College",4684,1489
"93","CollegeAmerica-Flagstaff",3873,17541,"CollegeAmerica-Flagstaff",3873,17541,"CollegeAmerica-Flagstaff",3873,17541,"CollegeAmerica-Flagstaff",3873,17541,"CollegeAmerica-Flagstaff",3873,17541,"CollegeAmerica-Flagstaff",3873,17541
"94","Southwest University of Visual Arts-Tucson",2963,19099,"Southwest University of Visual Arts-Tucson",2963,19099,"Southwest University of Visual Arts-Tucson",2963,19099,"Southwest University of Visual Arts-Tucson",2963,19099,"Southwest University of Visual Arts-Tucson",2963,19099,"Southwest University of Visual Arts-Tucson",2963,19099
"95","Mohave Community College",3613,1568,"Mohave Community College",3613,1568,"Mohave Community College",3613,1568,"Mohave Community College",3613,1568,"Mohave Community College",3613,1568,"Mohave Community College",3613,1568
"96","Arizona Academy of Beauty-North",5770,7879,"Arizona Academy of Beauty-North",5770,7879,"Arizona Academy of Beauty-North",5770,7879,"Arizona Academy of Beauty-North",5770,7879,"Arizona Academy of Beauty-North",5770,7879,"Arizona Academy of Beauty-North",5770,7879
"97","Coconino Community College",4025,2788,"Coconino Community College",4025,2788,"Coconino Community College",4025,2788,"Coconino Community College",4025,2788,"Coconino Community College",4025,2788,"Coconino Community College",4025,2788
"98","Hair Academy of Safford",6080,3587,"Hair Academy of Safford",6080,3587,"Hair Academy of Safford",6080,3587,"Hair Academy of Safford",6080,3587,"Hair Academy of Safford",6080,3587,"Hair Academy of Safford",6080,3587
"99","International Baptist College and Seminary",3164,6862,"International Baptist College and Seminary",3164,6862,"International Baptist College and Seminary",3164,6862,"International Baptist College and Seminary",3164,6862,"International Baptist College and Seminary",3164,6862,"International Baptist College and Seminary",3164,6862
"100","Argosy University-Phoenix",4874,13688,"Argosy University-Phoenix",4874,13688,"Argosy University-Phoenix",4874,13688,"Argosy University-Phoenix",4874,13688,"Argosy University-Phoenix",4874,13688,"Argosy University-Phoenix",4874,13688
"101","Golf Academy of America-Phoenix",3761,15320,"Golf Academy of America-Phoenix",3761,15320,"Golf Academy of America-Phoenix",3761,15320,"Golf Academy of America-Phoenix",3761,15320,"Golf Academy of America-Phoenix",3761,15320,"Golf Academy of America-Phoenix",3761,15320
"102","Empire Beauty School-Avondale",5843,8294,"Empire Beauty School-Avondale",5843,8294,"Empire Beauty School-Avondale",5843,8294,"Empire Beauty School-Avondale",5843,8294,"Empire Beauty School-Avondale",5843,8294,"Empire Beauty School-Avondale",5843,8294
"103","Phoenix Institute of Herbal Medicine & Acupuncture",2913,9037,"Phoenix Institute of Herbal Medicine & Acupuncture",2913,9037,"Phoenix Institute of Herbal Medicine & Acupuncture",2913,9037,"Phoenix Institute of Herbal Medicine & Acupuncture",2913,9037,"Phoenix Institute of Herbal Medicine & Acupuncture",2913,9037,"Phoenix Institute of Herbal Medicine & Acupuncture",2913,9037
"104","Phoenix Seminary",13269,9120,"Phoenix Seminary",13269,9120,"Phoenix Seminary",13269,9120,"Phoenix Seminary",13269,9120,"Phoenix Seminary",13269,9120,"Phoenix Seminary",13269,9120
"105","Arizona Culinary Institute",6662,15579,"Arizona Culinary Institute",6662,15579,"Arizona Culinary Institute",6662,15579,"Arizona Culinary Institute",6662,15579,"Arizona Culinary Institute",6662,15579,"Arizona Culinary Institute",6662,15579
"106","Arizona State University-Downtown Phoenix",9648,12430,"Arizona State University-Downtown Phoenix",9648,12430,"Arizona State University-Downtown Phoenix",9648,12430,"Arizona State University-Downtown Phoenix",9648,12430,"Arizona State University-Downtown Phoenix",9648,12430,"Arizona State University-Downtown Phoenix",9648,12430
